giornata,avversario,casa_trasferta,gol_fatti,gol_subiti,tiri,tiri_in_porta,possesso,xG,gol_fatti_1T,gol_fatti_2T,gol_subiti_1T,gol_subiti_2T,gol_fatti_recupero_1T,gol_fatti_recupero_2T,gol_subiti_recupero_1T,gol_subiti_recupero_2T
1,sampdoria,a,3,0,17,10,50,1.54,1,2,0,0,0,0,0,0
2,roma,h,1,1,23,7,51,2.07,0,1,1,0,0,0,0,0
3,spal,a,1,2,12,5,54,1.46,1,0,0,2,0,0,0,1
4,parma,h,2,0,25,9,62,2.0,1,1,0,0,0,0,0,0
5,inter,a,0,1,10,4,36,1.36,0,0,1,0,0,0,0,0
6,genoa,h,4,0,15,10,55,1.62,2,2,0,0,0,0,0,0
7,bologna,a,2,2,12,4,48,1.6,2,0,2,0,0,0,0,0
8,atalanta,h,3,3,17,5,51,2.7,0,3,3,0,0,1,0,0
9,fiorentina,a,2,1,12,7,53,2.01,1,1,1,0,0,0,0,0
10,torino,h,4,0,20,8,54,2.3,2,2,0,0,0,0,0,0
11,milan,a,2,1,8,4,53,1.11,1,1,1,0,0,0,0,0
12,lecce,h,4,2,24,7,56,3.65,1,3,1,1,0,0,0,0
13,sassuolo,a,2,1,16,6,46,0.94,1,1,1,0,0,1,0,0
14,udinese,h,3,0,21,6,52,2.92,3,0,0,0,1,0,0,0
15,juventus,h,3,1,18,9,40,2.26,1,2,1,0,1,0,0,0
16,cagliari,a,2,1,16,5,61,2.06,0,2,1,0,0,2,0,0
17,hellas verona,h,0,0,18,4,53,1.08,0,0,0,0,0,0,0,0
18,brescia,a,2,1,19,6,63,1.75,1,1,1,0,0,1,0,0
19,napoli,h,1,0,12,6,36,1.5,0,1,0,0,0,0,0,0
