giornata,avversario,casa_trasferta,gol_fatti,gol_subiti,tiri,tiri_in_porta,possesso,xG,gol_fatti_1T,gol_fatti_2T,gol_subiti_1T,gol_subiti_2T,gol_fatti_recupero_1T,gol_fatti_recupero_2T,gol_subiti_recupero_1T,gol_subiti_recupero_2T
1,venezia,h,3,1,13,6,67,2.33,2,1,1,0,0,0,0,0
2,udinese,a,1,2,17,5,65,1.68,0,1,1,1,0,1,0,0
3,milan,h,2,2,7,5,42,2.33,0,2,1,1,0,0,0,0
4,hellas verona,h,2,1,14,7,55,1.79,2,0,1,0,0,0,0,0
5,fiorentina,a,1,2,20,6,54,2.86,1,0,1,1,0,0,0,0
6,torino,a,3,2,13,7,42,2.25,1,2,0,2,0,0,0,1
7,empoli,h,2,1,16,6,59,2.05,1,1,1,0,1,1,0,0
8,juventus,a,0,1,2,1,31,0.06,0,0,0,1,0,0,0,0
9,genoa,h,3,0,18,4,61,2.98,1,2,0,0,0,1,0,0
10,como,a,5,1,14,7,49,2.97,1,4,0,1,0,1,0,0
11,cagliari,h,2,1,20,5,54,3.4,1,1,1,0,0,0,0,0
12,monza,a,1,0,14,6,49,1.17,1,0,0,0,0,0,0,0
13,bologna,h,3,0,13,4,70,2.6,0,3,0,0,0,1,0,0
14,parma,a,1,3,23,8,72,2.42,0,1,1,2,0,0,0,1
15,napoli,a,1,0,7,3,43,0.24,0,1,0,0,0,0,0,0
16,inter,h,0,6,9,2,52,0.63,0,0,2,4,0,0,0,0
17,lecce,a,2,1,13,7,60,1.95,1,1,0,1,1,0,0,0
18,atalanta,h,1,1,11,5,40,0.56,1,0,0,1,0,0,0,0
19,roma,a,0,2,17,6,67,1.32,0,0,2,0,0,0,0,0
