giornata,avversario,casa_trasferta,gol_fatti,gol_subiti,tiri,tiri_in_porta,possesso,xG,gol_fatti_1T,gol_fatti_2T,gol_subiti_1T,gol_subiti_2T,gol_fatti_recupero_1T,gol_fatti_recupero_2T,gol_subiti_recupero_1T,gol_subiti_recupero_2T,stagione
1,sampdoria,a,3,0,17,10,50,1.54,1,2,0,0,0,0,0,0,2019_2020
2,roma,h,1,1,23,7,51,2.07,0,1,1,0,0,0,0,0,2019_2020
3,spal,a,1,2,12,5,54,1.46,1,0,0,2,0,0,0,1,2019_2020
4,parma,h,2,0,25,9,62,2.0,1,1,0,0,0,0,0,0,2019_2020
5,inter,a,0,1,10,4,36,1.36,0,0,1,0,0,0,0,0,2019_2020
6,genoa,h,4,0,15,10,55,1.62,2,2,0,0,0,0,0,0,2019_2020
7,bologna,a,2,2,12,4,48,1.6,2,0,2,0,0,0,0,0,2019_2020
8,atalanta,h,3,3,17,5,51,2.7,0,3,3,0,0,1,0,0,2019_2020
9,fiorentina,a,2,1,12,7,53,2.01,1,1,1,0,0,0,0,0,2019_2020
10,torino,h,4,0,20,8,54,2.3,2,2,0,0,0,0,0,0,2019_2020
11,milan,a,2,1,8,4,53,1.11,1,1,1,0,0,0,0,0,2019_2020
12,lecce,h,4,2,24,7,56,3.65,1,3,1,1,0,0,0,0,2019_2020
13,sassuolo,a,2,1,16,6,46,0.94,1,1,1,0,0,1,0,0,2019_2020
14,udinese,h,3,0,21,6,52,2.92,3,0,0,0,1,0,0,0,2019_2020
15,juventus,h,3,1,18,9,40,2.26,1,2,1,0,1,0,0,0,2019_2020
16,cagliari,a,2,1,16,5,61,2.06,0,2,1,0,0,2,0,0,2019_2020
17,hellas verona,h,0,0,18,4,53,1.08,0,0,0,0,0,0,0,0,2019_2020
18,brescia,a,2,1,19,6,63,1.75,1,1,1,0,0,1,0,0,2019_2020
19,napoli,h,1,0,12,6,36,1.5,0,1,0,0,0,0,0,0,2019_2020
1,venezia,h,3,1,13,6,67,2.33,2,1,1,0,0,0,0,0,2024_2025
2,udinese,a,1,2,17,5,65,1.68,0,1,1,1,0,1,0,0,2024_2025
3,milan,h,2,2,7,5,42,2.33,0,2,1,1,0,0,0,0,2024_2025
4,hellas verona,h,2,1,14,7,55,1.79,2,0,1,0,0,0,0,0,2024_2025
5,fiorentina,a,1,2,20,6,54,2.86,1,0,1,1,0,0,0,0,2024_2025
6,torino,a,3,2,13,7,42,2.25,1,2,0,2,0,0,0,1,2024_2025
7,empoli,h,2,1,16,6,59,2.05,1,1,1,0,1,1,0,0,2024_2025
8,juventus,a,0,1,2,1,31,0.06,0,0,0,1,0,0,0,0,2024_2025
9,genoa,h,3,0,18,4,61,2.98,1,2,0,0,0,1,0,0,2024_2025
10,como,a,5,1,14,7,49,2.97,1,4,0,1,0,1,0,0,2024_2025
11,cagliari,h,2,1,20,5,54,3.4,1,1,1,0,0,0,0,0,2024_2025
12,monza,a,1,0,14,6,49,1.17,1,0,0,0,0,0,0,0,2024_2025
13,bologna,h,3,0,13,4,70,2.6,0,3,0,0,0,1,0,0,2024_2025
14,parma,a,1,3,23,8,72,2.42,0,1,1,2,0,0,0,1,2024_2025
15,napoli,a,1,0,7,3,43,0.24,0,1,0,0,0,0,0,0,2024_2025
16,inter,h,0,6,9,2,52,0.63,0,0,2,4,0,0,0,0,2024_2025
17,lecce,a,2,1,13,7,60,1.95,1,1,0,1,1,0,0,0,2024_2025
18,atalanta,h,1,1,11,5,40,0.56,1,0,0,1,0,0,0,0,2024_2025
19,roma,a,0,2,17,6,67,1.32,0,0,2,0,0,0,0,0,2024_2025
